NO_OF_FRAMES	919
NO_OF_DATA_TYPES	1
FREQUENCY	200
TIME_STAMP	2022-06-21, 12:21:53
DATA_INCLUDED	Angle
DATA_TYPES	R_knee_angle

Frame	Time	R_knee_angle	
1	0.00000	173.771
2	0.00500	173.772
3	0.01000	173.773
4	0.01500	173.741
5	0.02000	173.743
6	0.02500	173.743
7	0.03000	173.744
8	0.03500	173.734
9	0.04000	173.736
10	0.04500	173.734
11	0.05000	173.728
12	0.05500	173.726
13	0.06000	173.722
14	0.06500	173.715
15	0.07000	173.714
16	0.07500	173.711
17	0.08000	173.704
18	0.08500	173.700
19	0.09000	173.695
20	0.09500	173.694
21	0.10000	173.696
22	0.10500	173.693
23	0.11000	173.684
24	0.11500	173.687
25	0.12000	173.676
26	0.12500	173.680
27	0.13000	173.672
28	0.13500	173.669
29	0.14000	173.668
30	0.14500	173.665
31	0.15000	173.665
32	0.15500	173.660
33	0.16000	173.659
34	0.16500	173.655
35	0.17000	173.659
36	0.17500	173.646
37	0.18000	173.652
38	0.18500	173.648
39	0.19000	173.651
40	0.19500	173.648
41	0.20000	173.646
42	0.20500	173.642
43	0.21000	173.643
44	0.21500	173.641
45	0.22000	173.637
46	0.22500	173.633
47	0.23000	173.633
48	0.23500	173.626
49	0.24000	173.628
50	0.24500	173.629
51	0.25000	173.626
52	0.25500	173.622
53	0.26000	173.625
54	0.26500	173.626
55	0.27000	173.620
56	0.27500	173.611
57	0.28000	173.612
58	0.28500	173.617
59	0.29000	173.615
60	0.29500	173.618
61	0.30000	173.620
62	0.30500	173.623
63	0.31000	173.628
64	0.31500	173.630
65	0.32000	173.632
66	0.32500	173.639
67	0.33000	173.644
68	0.33500	173.647
69	0.34000	173.656
70	0.34500	173.666
71	0.35000	173.670
72	0.35500	173.674
73	0.36000	173.687
74	0.36500	173.688
75	0.37000	173.687
76	0.37500	173.696
77	0.38000	173.696
78	0.38500	173.696
79	0.39000	173.691
80	0.39500	173.689
81	0.40000	173.688
82	0.40500	173.684
83	0.41000	173.685
84	0.41500	173.675
85	0.42000	173.668
86	0.42500	173.656
87	0.43000	173.638
88	0.43500	173.630
89	0.44000	173.625
90	0.44500	173.612
91	0.45000	173.613
92	0.45500	173.594
93	0.46000	173.576
94	0.46500	173.566
95	0.47000	173.559
96	0.47500	173.552
97	0.48000	173.543
98	0.48500	173.532
99	0.49000	173.522
100	0.49500	173.513
101	0.50000	173.505
102	0.50500	173.488
103	0.51000	173.470
104	0.51500	173.447
105	0.52000	173.439
106	0.52500	173.427
107	0.53000	173.419
108	0.53500	173.407
109	0.54000	173.396
110	0.54500	173.386
111	0.55000	173.371
112	0.55500	173.355
113	0.56000	173.342
114	0.56500	173.337
115	0.57000	173.316
116	0.57500	173.294
117	0.58000	173.284
118	0.58500	173.270
119	0.59000	173.264
120	0.59500	173.241
121	0.60000	173.235
122	0.60500	173.231
123	0.61000	173.231
124	0.61500	173.227
125	0.62000	173.225
126	0.62500	173.245
127	0.63000	173.244
128	0.63500	173.273
129	0.64000	173.305
130	0.64500	173.329
131	0.65000	173.356
132	0.65500	173.386
133	0.66000	173.437
134	0.66500	173.476
135	0.67000	173.497
136	0.67500	173.547
137	0.68000	173.578
138	0.68500	173.608
139	0.69000	173.687
140	0.69500	173.709
141	0.70000	173.748
142	0.70500	173.770
143	0.71000	173.816
144	0.71500	173.842
145	0.72000	173.880
146	0.72500	173.934
147	0.73000	173.991
148	0.73500	174.060
149	0.74000	174.136
150	0.74500	174.219
151	0.75000	174.301
152	0.75500	174.395
153	0.76000	174.465
154	0.76500	174.548
155	0.77000	174.621
156	0.77500	174.718
157	0.78000	174.810
158	0.78500	174.914
159	0.79000	175.036
160	0.79500	175.141
161	0.80000	175.258
162	0.80500	175.391
163	0.81000	175.498
164	0.81500	175.591
165	0.82000	175.680
166	0.82500	175.775
167	0.83000	175.836
168	0.83500	175.881
169	0.84000	175.904
170	0.84500	175.913
171	0.85000	175.901
172	0.85500	175.878
173	0.86000	175.847
174	0.86500	175.796
175	0.87000	175.746
176	0.87500	175.674
177	0.88000	175.600
178	0.88500	175.616
179	0.89000	175.551
180	0.89500	175.463
181	0.90000	175.386
182	0.90500	175.296
183	0.91000	175.191
184	0.91500	175.099
185	0.92000	174.988
186	0.92500	174.860
187	0.93000	174.758
188	0.93500	174.628
189	0.94000	174.451
190	0.94500	174.279
191	0.95000	174.155
192	0.95500	174.041
193	0.96000	173.920
194	0.96500	173.835
195	0.97000	173.741
196	0.97500	173.658
197	0.98000	173.640
198	0.98500	173.565
199	0.99000	173.487
200	0.99500	173.429
201	1.00000	173.365
202	1.00500	173.306
203	1.01000	173.246
204	1.01500	173.206
205	1.02000	173.155
206	1.02500	173.101
207	1.03000	173.054
208	1.03500	173.020
209	1.04000	172.984
210	1.04500	172.955
211	1.05000	172.899
212	1.05500	172.852
213	1.06000	172.754
214	1.06500	172.703
215	1.07000	172.628
216	1.07500	172.567
217	1.08000	172.501
218	1.08500	172.433
219	1.09000	172.349
220	1.09500	172.248
221	1.10000	172.156
222	1.10500	172.030
223	1.11000	171.888
224	1.11500	171.720
225	1.12000	171.535
226	1.12500	171.330
227	1.13000	171.148
228	1.13500	170.900
229	1.14000	170.642
230	1.14500	170.376
231	1.15000	170.084
232	1.15500	169.792
233	1.16000	169.436
234	1.16500	169.110
235	1.17000	168.811
236	1.17500	168.490
237	1.18000	168.187
238	1.18500	167.853
239	1.19000	167.542
240	1.19500	167.221
241	1.20000	166.897
242	1.20500	166.572
243	1.21000	166.225
244	1.21500	165.869
245	1.22000	165.529
246	1.22500	165.158
247	1.23000	164.776
248	1.23500	164.400
249	1.24000	164.001
250	1.24500	163.587
251	1.25000	163.175
252	1.25500	162.719
253	1.26000	162.267
254	1.26500	161.755
255	1.27000	161.238
256	1.27500	160.664
257	1.28000	160.056
258	1.28500	159.416
259	1.29000	158.706
260	1.29500	157.956
261	1.30000	157.118
262	1.30500	156.241
263	1.31000	155.264
264	1.31500	154.247
265	1.32000	153.177
266	1.32500	152.004
267	1.33000	150.755
268	1.33500	149.432
269	1.34000	148.034
270	1.34500	146.608
271	1.35000	145.155
272	1.35500	143.677
